frame,q1,q2,q3,q4,q5,q6,x,y,z,tilt
0,0.0000,0.0000,20.0000,-35.0000,0.0000,0.0000,108.3816,-32.0000,174.4788,57.3854
1,2.8840,4.6245,24.9574,-39.9576,6.6198,2.7794,102.3849,-29.4367,161.1930,58.0957
2,5.7679,9.2491,29.9148,-44.9153,13.2396,5.5587,94.0475,-28.1886,150.0794,59.5289
3,8.6519,13.8736,34.8722,-49.8729,19.8594,8.3381,84.2606,-28.3746,141.6088,61.4495
4,11.5359,18.4982,39.8296,-54.8305,26.4792,11.1175,73.9711,-29.9220,135.9958,63.7603
5,14.4198,23.1227,44.7870,-59.7881,33.0990,13.8968,64.0726,-32.5795,133.1961,66.4888
6,17.3038,27.7472,49.7444,-64.7458,39.7189,16.6762,55.3099,-35.9559,132.9327,69.7406
7,20.1878,32.3718,54.7018,-69.7034,46.3387,19.4555,48.2067,-39.5775,134.7437,73.6371
8,23.0717,36.9963,59.6592,-74.6610,52.9585,22.2349,43.0273,-42.9565,138.0480,78.2562
9,25.9557,41.6208,64.6166,-79.6186,59.5783,25.0143,39.7726,-45.6573,142.2183,83.5908
10,28.8397,46.2454,69.5740,-84.5763,66.1981,27.7936,38.2109,-47.3524,146.6528,89.5289
11,31.7236,50.8699,74.5314,-89.5339,72.8179,30.5730,37.9348,-47.8594,150.8377,84.1486
12,34.6076,55.4945,79.4888,-94.4915,79.4377,33.3524,38.4348,-47.1533,154.3931,77.7628
13,35.0146,55.6654,71.6871,-86.6825,79.9419,32.9083,38.4293,-47.0844,154.9628,85.4148
14,35.0291,55.5963,63.3743,-78.3650,79.8838,32.8707,37.4960,-46.9299,154.6142,85.5088
15,35.0437,55.5273,55.0614,-70.0475,79.8257,32.8332,36.0732,-46.2523,153.4552,76.5067
16,35.0582,55.4583,46.7485,-61.7300,79.7676,32.7956,34.4469,-44.8865,151.4634,68.0329
17,35.0728,55.3892,38.4357,-53.4125,79.7095,32.7581,32.9077,-42.6813,148.7259,60.6592
18,35.0873,55.3202,30.1228,-45.0950,79.6514,32.7205,31.7227,-39.5176,145.4336,55.1126
19,34.9327,55.6804,38.2758,-53.2751,79.9758,32.8909,32.6826,-42.8685,148.8856,60.5975
20,34.8654,55.6263,46.5516,-61.5501,79.9516,32.8359,34.2907,-45.0395,151.5490,67.9404
21,34.7981,55.5723,54.8274,-69.8252,79.9273,32.7810,35.9668,-46.3947,153.4763,76.3518
22,34.7309,55.5182,63.1032,-78.1003,79.9031,32.7260,37.4307,-47.0789,154.5861,85.2821
23,34.6636,55.4642,71.3790,-86.3754,79.8789,32.6711,38.4065,-47.2491,154.9016,85.7063
24,34.5963,55.4101,79.6548,-94.6504,79.8547,32.6162,38.6486,-47.0576,154.5458,76.9968
25,35.0243,48.7882,80.0072,-94.9800,70.0096,32.9744,38.6578,-44.9202,149.3553,82.2347
26,35.0486,41.8420,80.0145,-94.9601,60.0192,33.0029,39.2035,-41.3931,144.1852,86.9815
27,35.0729,34.8957,80.0217,-94.9401,50.0288,33.0315,40.3119,-36.3489,139.5211,89.1833
28,35.0972,27.9495,80.0289,-94.9201,40.0384,33.0600,41.9568,-29.9330,135.7627,86.2728
29,35.1215,21.0033,80.0362,-94.9002,30.0480,33.0886,44.0326,-22.3767,133.2719,84.2188
30,35.1458,14.0571,80.0434,-94.8802,20.0575,33.1171,46.3640,-13.9863,132.3402,82.8709
31,35.1701,7.1108,80.0506,-94.8602,10.0671,33.1457,48.7231,-5.1252,133.1617,82.0081
32,35.1944,0.1646,80.0579,-94.8403,0.0767,33.1743,50.8513,3.8071,135.8148,81.3615
33,35.2187,-6.7816,80.0651,-94.8203,-9.9137,33.2028,52.4849,12.3995,140.2522,80.6439
34,35.2430,-13.7278,80.0723,-94.8003,-19.9041,33.2314,53.3813,20.2550,146.3027,79.5808
35,35.2673,-20.6741,80.0796,-94.7804,-29.8945,33.2599,53.3437,27.0149,153.6823,77.9373
36,35.2916,-27.6203,80.0868,-94.7604,-39.8849,33.2885,52.2422,32.3802,162.0152,75.5401
37,35.3159,-34.5665,80.0940,-94.7405,-49.8753,33.3171,50.0291,36.1294,170.8626,72.2893
38,35.3402,-41.5127,80.1013,-94.7205,-59.8657,33.3456,46.7467,38.1295,179.7561,68.1621
39,35.3645,-48.4590,80.1085,-94.7005,-69.8561,33.3742,42.5276,38.3415,188.2347,63.2098
40,35.3888,-55.4052,80.1157,-94.6806,-79.8465,33.4027,37.5858,36.8187,195.8798,57.5536
41,32.5050,-55.7212,79.9897,-94.9871,-80.0042,32.9402,40.8869,34.7695,196.0222,56.6634
42,30.0099,-55.7080,79.9794,-94.9743,-80.0084,32.9345,43.7576,32.9292,196.0262,56.6614
43,27.5149,-55.6948,79.9691,-94.9614,-80.0125,32.9289,46.5456,30.9656,196.0303,56.6595
44,25.0199,-55.6816,79.9589,-94.9486,-80.0167,32.9232,49.2455,28.8823,196.0344,56.6575
45,22.5249,-55.6684,79.9486,-94.9357,-80.0209,32.9176,51.8524,26.6833,196.0384,56.6556
46,20.0298,-55.6552,79.9383,-94.9228,-80.0251,32.9120,54.3611,24.3727,196.0425,56.6537
47,17.5348,-55.6421,79.9280,-94.9100,-80.0293,32.9063,56.7670,21.9550,196.0465,56.6517
48,15.0398,-55.6289,79.9177,-94.8971,-80.0334,32.9007,59.0655,19.4347,196.0506,56.6498
49,12.5448,-55.6157,79.9074,-94.8843,-80.0376,32.8950,61.2521,16.8166,196.0546,56.6479
50,10.0497,-55.6025,79.8971,-94.8714,-80.0418,32.8894,63.3228,14.1056,196.0587,56.6459
51,7.5547,-55.5893,79.8869,-94.8585,-80.0460,32.8838,65.2736,11.3069,196.0627,56.6440
52,5.0597,-55.5761,79.8766,-94.8457,-80.0501,32.8781,67.1007,8.4257,196.0668,56.6421
53,2.5647,-55.5629,79.8663,-94.8328,-80.0543,32.8725,68.8008,5.4676,196.0708,56.6401
54,0.0696,-55.5497,79.8560,-94.8199,-80.0585,32.8668,70.3705,2.4381,196.0749,56.6382
55,-2.4254,-55.5365,79.8457,-94.8071,-80.0627,32.8612,71.8069,-0.6570,196.0789,56.6363
56,-4.9204,-55.5233,79.8354,-94.7942,-80.0669,32.8556,73.1072,-3.8119,196.0830,56.6343
57,-7.4154,-55.5101,79.8251,-94.7814,-80.0710,32.8499,74.2690,-7.0206,196.0870,56.6324
58,-9.9105,-55.4969,79.8149,-94.7685,-80.0752,32.8443,75.2900,-10.2770,196.0911,56.6305
59,-12.4055,-55.4838,79.8046,-94.7556,-80.0794,32.8386,76.1684,-13.5750,196.0951,56.6286
60,-14.9005,-55.4706,79.7943,-94.7428,-80.0836,32.8330,76.9023,-16.9082,196.0992,56.6266
61,-17.3955,-55.4574,79.7840,-94.7299,-80.0878,32.8274,77.4904,-20.2704,196.1032,56.6247
62,-19.8906,-55.4442,79.7737,-94.7171,-80.0919,32.8217,77.9316,-23.6552,196.1073,56.6228
63,-22.3856,-55.4310,79.7634,-94.7042,-80.0961,32.8161,78.2249,-27.0562,196.1113,56.6209
64,-24.8806,-55.4178,79.7531,-94.6913,-80.1003,32.8104,78.3700,-30.4669,196.1153,56.6189
65,-27.3756,-55.4046,79.7428,-94.6785,-80.1045,32.8048,78.3664,-33.8808,196.1194,56.6170
66,-29.8707,-55.3914,79.7326,-94.6656,-80.1087,32.7992,78.2141,-37.2915,196.1234,56.6151
67,-32.3657,-55.3782,79.7223,-94.6528,-80.1128,32.7935,77.9135,-40.6926,196.1275,56.6132
68,-34.8607,-55.3650,79.7120,-94.6399,-80.1170,32.7879,77.4650,-44.0774,196.1315,56.6113
69,-37.3557,-55.3518,79.7017,-94.6270,-80.1212,32.7822,76.8695,-47.4398,196.1356,56.6093
70,-39.8508,-55.3386,79.6914,-94.6142,-80.1254,32.7766,76.1282,-50.7731,196.1396,56.6074
71,-42.3458,-55.3255,79.6811,-94.6013,-80.1296,32.7710,75.2423,-54.0712,196.1436,56.6055
72,-44.8408,-55.3123,79.6708,-94.5884,-80.1337,32.7653,74.2137,-57.3278,196.1477,56.6036
73,-45.1138,-55.5952,79.9496,-94.9616,-80.1331,32.9351,73.9574,-57.5723,196.0016,56.7573
74,-45.2275,-55.4560,79.8992,-94.9233,-80.2663,32.9244,73.8839,-57.6739,195.9853,56.8491
75,-45.3413,-55.3169,79.8488,-94.8849,-80.3994,32.9138,73.8102,-57.7755,195.9692,56.9408
76,-44.9624,-55.6120,80.0551,-95.0784,-79.8149,32.9635,74.0798,-57.4882,195.8230,56.8401
77,-44.9248,-55.4897,80.1102,-95.1567,-79.6298,32.9812,74.1281,-57.5054,195.6275,57.0145
78,-44.8872,-55.3673,80.1652,-95.2351,-79.4447,32.9989,74.1755,-57.5223,195.4317,57.1886
79,-43.1407,-55.7298,80.0227,-94.9909,-79.9817,32.9655,74.8216,-55.0606,196.0049,56.7104
80,-41.2814,-55.7253,80.0454,-94.9818,-79.9634,32.9852,75.5342,-52.6261,195.9917,56.7554
81,-39.4221,-55.7207,80.0681,-94.9727,-79.9451,33.0050,76.1676,-50.1697,195.9785,56.8005
82,-37.5628,-55.7161,80.0907,-94.9636,-79.9268,33.0247,76.7210,-47.6939,195.9653,56.8456
83,-35.7035,-55.7116,80.1134,-94.9545,-79.9085,33.0444,77.1941,-45.2012,195.9521,56.8906
84,-33.8442,-55.7070,80.1361,-94.9454,-79.8901,33.0641,77.5861,-42.6944,195.9389,56.9357
85,-31.9850,-55.7025,80.1588,-94.9363,-79.8718,33.0838,77.8968,-40.1761,195.9256,56.9808
86,-30.1257,-55.6979,80.1815,-94.9272,-79.8535,33.1035,78.1257,-37.6488,195.9124,57.0259
87,-28.2664,-55.6933,80.2042,-94.9181,-79.8352,33.1233,78.2726,-35.1153,195.8991,57.0710
88,-26.4071,-55.6888,80.2268,-94.9090,-79.8169,33.1430,78.3374,-32.5783,195.8859,57.1161
89,-24.5478,-55.6842,80.2495,-94.8999,-79.7986,33.1627,78.3200,-30.0402,195.8726,57.1612
90,-22.6885,-55.6796,80.2722,-94.8908,-79.7803,33.1824,78.2203,-27.5040,195.8593,57.2062
91,-20.8292,-55.6751,80.2949,-94.8817,-79.7620,33.2021,78.0385,-24.9721,195.8460,57.2513
92,-18.9699,-55.6705,80.3176,-94.8726,-79.7437,33.2218,77.7748,-22.4473,195.8327,57.2964
93,-17.1106,-55.6659,80.3403,-94.8635,-79.7254,33.2416,77.4294,-19.9322,195.8194,57.3415
94,-15.2513,-55.6614,80.3629,-94.8544,-79.7070,33.2613,77.0026,-17.4294,195.8061,57.3866
95,-13.3920,-55.6568,80.3856,-94.8453,-79.6887,33.2810,76.4950,-14.9417,195.7928,57.4318
96,-11.5327,-55.6523,80.4083,-94.8362,-79.6704,33.3007,75.9070,-12.4715,195.7795,57.4769
97,-9.6735,-55.6477,80.4310,-94.8271,-79.6521,33.3204,75.2393,-10.0215,195.7661,57.5220
98,-7.8142,-55.6431,80.4537,-94.8180,-79.6338,33.3401,74.4925,-7.5943,195.7528,57.5671
99,-5.9549,-55.6386,80.4764,-94.8089,-79.6155,33.3599,73.6674,-5.1925,195.7395,57.6122
100,-4.0956,-55.6340,80.4990,-94.7998,-79.5972,33.3796,72.7649,-2.8184,195.7261,57.6573
101,-2.2363,-55.6294,80.5217,-94.7907,-79.5789,33.3993,71.7859,-0.4747,195.7127,57.7025
102,-0.3770,-55.6249,80.5444,-94.7816,-79.5606,33.4190,70.7314,1.8362,195.6993,57.7476
103,0.0120,-51.0650,80.0064,-94.9540,-73.3319,36.4036,73.8238,1.4196,191.0674,63.9310
104,0.0240,-46.3955,80.0128,-94.9079,-66.6637,39.8613,76.6224,0.0511,185.6757,70.7830
105,0.0359,-41.7261,80.0192,-94.8619,-59.9956,43.3191,78.6739,-1.7502,179.9572,77.0786
106,0.0479,-37.0567,80.0256,-94.8159,-53.3275,46.7769,79.9196,-3.9601,174.0397,82.6625
107,0.0599,-32.3872,80.0320,-94.7698,-46.6594,50.2346,80.3254,-6.5492,168.0606,87.3700
108,0.0719,-27.7178,80.0384,-94.7238,-39.9912,53.6924,79.8823,-9.4827,162.1614,88.9625
